# filename; lat; lon; alt; yawl; pitch; roll; x; y; z
20200707_092913_902_0547.jpg; 81.663385; 4.664065; 94.801; 28.528; -4.252; -2.260; 4.688384; 81.668061; 94.801
20200707_092917_902_0548.jpg; 81.663747; 4.664812; 80.512; 9.756; -9.240; -18.889; 4.689177; 81.668432; 80.512
20200707_092921_902_0549.jpg; 81.664479; 4.662922; 69.824; 339.534; -0.694; -21.621; 4.687334; 81.669173; 69.824
20200707_092925_902_0550.jpg; 81.665140; 4.657165; 69.747; 310.431; 1.096; -21.189; 4.681624; 81.669842; 69.747
20200707_092929_902_0551.jpg; 81.665425; 4.648566; 72.771; 286.308; 1.317; -18.429; 4.673070; 81.670136; 72.771
20200707_092933_903_0552.jpg; 81.665405; 4.638692; 69.055; 275.992; -0.494; -4.934; 4.663241; 81.670124; 69.055
20200707_092937_902_0553.jpg; 81.665288; 4.628110; 68.331; 275.628; 0.571; -1.700; 4.652702; 81.670016; 68.331
20200707_092941_902_0554.jpg; 81.665125; 4.617172; 69.299; 272.426; 1.146; -3.806; 4.641809; 81.669861; 69.299
20200707_092945_902_0555.jpg; 81.664891; 4.605981; 70.644; 269.170; 2.080; -4.232; 4.630662; 81.669636; 70.644
20200707_092949_903_0556.jpg; 81.664548; 4.594729; 74.385; 264.182; 3.713; -8.003; 4.619453; 81.669301; 74.385
20200707_092953_902_0557.jpg; 81.663943; 4.584007; 78.939; 242.757; 5.462; -22.599; 4.608775; 81.668705; 78.939
20200707_092957_902_0558.jpg; 81.662898; 4.575209; 79.652; 223.866; 4.624; -15.779; 4.600018; 81.667669; 79.652
20200707_093001_903_0559.jpg; 81.661604; 4.568677; 81.685; 205.980; 7.920; -14.140; 4.593527; 81.666384; 81.685
20200707_093005_903_0560.jpg; 81.660244; 4.564711; 87.966; 187.984; 8.752; -12.595; 4.589601; 81.665032; 87.966
20200707_093009_903_0561.jpg; 81.658950; 4.562943; 97.155; 173.515; 4.391; -9.715; 4.587875; 81.663747; 97.155
